,zone_NorthEast,zone_NorthWest,zone_SouthEast,zone_SouthWest,density_level_High,density_level_Low,density_level_Medium,Age_?,Age_Adult,Age_Juvenile,Primary Fur Color_Black,Primary Fur Color_Cinnamon,Primary Fur Color_Gray,Location_Above Ground,Location_Ground Plane,active_score,foraging_score,vocal_score,alert_score,shift_enc,weekday,conditions_enc,has_threat,outlier_variable,X,Y
Runs Away,-0.17790673229654708,0.48491224351812556,-0.06603505770491244,-0.21487458158235204,-0.10959027250736639,0.100281446520471,0.035404697921209816,-0.13736020299001828,0.11902805173192454,0.04442802319241863,0.14063816139750374,-0.14107790828618919,0.02653561882299694,0.03242055050340691,-0.0063246785690913515,0.1704399583599733,-0.07902886831970284,0.08760272975359149,0.03280269393301724,0.0611997642831861,-0.02105569228894356,0.012383986151275755,0.08132593551991785,0.04385919614319433,-0.12754861651232197,0.3625827008837622
Indifferent,0.19777206464497032,-0.16536486471372552,0.1392215589110158,-0.12951659635740218,0.0012203669278458302,0.03464839542694524,0.006243400130069655,0.20397894054616217,-0.05195399694529383,-0.10991278111599687,0.11328614496151924,-0.19279524855949884,0.1216212660828438,0.23808031050207373,-0.19596814801720783,-0.09248369497400433,-0.06184543618692971,0.03761454374857731,-0.10486389513492082,0.003963012554443158,0.021165748460126022,0.017252206599316453,0.07985479818978242,0.05387881456638085,-0.04694808283801059,-0.1888969487123996
Approaches,-0.01986533234842912,-0.31954737880440076,-0.07318650120610587,0.34439117793975316,0.10836990557952009,-0.1349298419474129,-0.04164809805128348,-0.06661873755614381,-0.06707405478661925,0.06548475792358034,-0.25392430635902047,0.33387315684568486,-0.14815688490584125,-0.27050086100547666,0.20229282658629935,-0.07795626338595284,0.14087430450663485,-0.1252172735021671,0.07206120120190386,-0.06516277683762467,-0.00011005617121130826,-0.029636192750586845,-0.16118073370969158,-0.09773801070958969,0.17449669935031792,-0.17368575217135926
